Date,Concentration
16/09/2016,88
17/09/2016,102.04
18/09/2016,94.9
19/09/2016,81.38
20/09/2016,131.19
21/09/2016,101.79
22/09/2016,35.28
23/09/2016,69.82
24/09/2016,56.14
25/09/2016,61.06
26/09/2016,107.66
27/09/2016,64.47
28/09/2016,118.05
29/09/2016,109.92
30/09/2016,113.09
01/10/2016,125.79
02/10/2016,89.58
03/10/2016,118.57
04/10/2016,193.12
05/10/2016,113.53
06/10/2016,154.39
07/10/2016,132.22
08/10/2016,183.62
09/10/2016,190.8
10/10/2016,172.46
11/10/2016,187.65
12/10/2016,132.57
13/10/2016,106.97
14/10/2016,121.46
15/10/2016,165.19
16/10/2016,174.5
17/10/2016,180.43
18/10/2016,208.07
19/10/2016,171.2
20/10/2016,172.93
21/10/2016,201.74
22/10/2016,168.16
23/10/2016,229.26
24/10/2016,209.37
25/10/2016,150.11
26/10/2016,257.75
27/10/2016,348.87
28/10/2016,396.47
29/10/2016,402.94
30/10/2016,350.21
31/10/2016,441.01
01/11/2016,441.14
02/11/2016,472.77
03/11/2016,426.82
04/11/2016,450.49
05/11/2016,783.31
06/11/2016,848.55
07/11/2016,552.81
08/11/2016,423.53
09/11/2016,441.16
10/11/2016,404.94
11/11/2016,397.79
12/11/2016,335.51
13/11/2016,274.72
14/11/2016,208.09
15/11/2016,314.12
16/11/2016,351.38
17/11/2016,237.56
18/11/2016,277.12
19/11/2016,291.52
20/11/2016,374.25
21/11/2016,341.57
22/11/2016,224.08
23/11/2016,241.25
24/11/2016,293.84
25/11/2016,137.23
26/11/2016,123.47
27/11/2016,157.13
28/11/2016,197.59
29/11/2016,376.14
30/11/2016,316.51
01/12/2016,371.39
02/12/2016,345.31
03/12/2016,276.37
04/12/2016,347.16
05/12/2016,314.29
06/12/2016,439.91
07/12/2016,332.91
08/12/2016,311.18
09/12/2016,409.37
10/12/2016,221.54
11/12/2016,276.73
12/12/2016,302.56
13/12/2016,236.28
14/12/2016,184.59
15/12/2016,197.17
16/12/2016,271.98
17/12/2016,273.82
18/12/2016,264.65
19/12/2016,277.45
20/12/2016,175.82
21/12/2016,162.3
22/12/2016,272.8
23/12/2016,534.76
24/12/2016,509.43
25/12/2016,272.83
26/12/2016,137.73
27/12/2016,241.51
28/12/2016,340.79
29/12/2016,367.43
30/12/2016,237.41
31/12/2016,231.19
01/01/2017,199.82
02/01/2017,256.89
03/01/2017,271.06
04/01/2017,270.88
05/01/2017,247.18
06/01/2017,190.62
07/01/2017,143.59
08/01/2017,146.55
09/01/2017,132.49
10/01/2017,105.81
11/01/2017,157.41
12/01/2017,273.18
13/01/2017,229.59
15/01/2017,239.08
16/01/2017,180.77
17/01/2017,136.7
18/01/2017,180.43
19/01/2017,144.5
20/01/2017,115.67
23/01/2017,157.4
24/01/2017,242.91
25/01/2017,239.33
26/01/2017,127.99
27/01/2017,61.78
28/01/2017,110.28
29/01/2017,123.47
30/01/2017,207.54
31/01/2017,217.85
01/02/2017,146.37
02/02/2017,226.91
03/02/2017,214.41
04/02/2017,216.91
05/02/2017,166.46
06/02/2017,191.71
07/02/2017,82.33
08/02/2017,139.4
09/02/2017,154.66
10/02/2017,106.86
11/02/2017,140.6
12/02/2017,112.85
13/02/2017,123.9
14/02/2017,139.17
15/02/2017,157.7
16/02/2017,130.18
17/02/2017,122.05
18/02/2017,116.93
19/02/2017,145.39
20/02/2017,153.12
21/02/2017,107.82
22/02/2017,92.35
23/02/2017,76.08
26/02/2017,69.43
27/02/2017,99.51
28/02/2017,166.73
01/03/2017,93.4
02/03/2017,126.77
03/03/2017,69.49
04/03/2017,74.16
05/03/2017,94.58
06/03/2017,113.81
07/03/2017,140.19
08/03/2017,78.93
11/03/2017,57.98
12/03/2017,77.22
13/03/2017,84.45
14/03/2017,145.56
15/03/2017,140.99
16/03/2017,157.07
17/03/2017,141.51
18/03/2017,116.25
19/03/2017,173.9
20/03/2017,131.29
21/03/2017,160.45
22/03/2017,150.54
23/03/2017,172.95
24/03/2017,121.47
25/03/2017,85.14
26/03/2017,89.94
27/03/2017,77.84
28/03/2017,119.18
29/03/2017,123.47
30/03/2017,71.43
31/03/2017,103.13
01/04/2017,112.28
02/04/2017,84.79
03/04/2017,78.92
04/04/2017,97.53
05/04/2017,49.28
06/04/2017,71.15
07/04/2017,139.38
08/04/2017,181.63
09/04/2017,47.01
10/04/2017,58.06
11/04/2017,71.6
12/04/2017,97.7
13/04/2017,237.37
14/04/2017,237.45
15/04/2017,211.55
16/04/2017,191.7
17/04/2017,115.47
18/04/2017,148.71
19/04/2017,193.02
20/04/2017,217.62
21/04/2017,96.74
23/04/2017,129.39
24/04/2017,126.6
25/04/2017,89.88
26/04/2017,111.83
27/04/2017,131.36
28/04/2017,160.54
29/04/2017,180.29
30/04/2017,87.08
01/05/2017,103.4
02/05/2017,234.72
03/05/2017,161.35
04/05/2017,127.97
05/05/2017,212.93
06/05/2017,269.73
07/05/2017,266.19
08/05/2017,180.81
09/05/2017,94.17
10/05/2017,72.14
11/05/2017,114.56
12/05/2017,200.55
13/05/2017,285.25
14/05/2017,134.75
15/05/2017,192.34
16/05/2017,104.03
17/05/2017,78.05
18/05/2017,216.86
19/05/2017,190.1
20/05/2017,350.73
21/05/2017,183.35
22/05/2017,99.75
23/05/2017,176.51
25/05/2017,116.03
26/05/2017,103.11
27/05/2017,53.27
28/05/2017,36.61
29/05/2017,46.6
30/05/2017,59.99
31/05/2017,63.26
01/06/2017,111.34
02/06/2017,142.79
03/06/2017,142.36
04/06/2017,124.95
05/06/2017,75.27
06/06/2017,75.31
07/06/2017,43
08/06/2017,53.97
09/06/2017,67.17
10/06/2017,109.61
11/06/2017,61.03
12/06/2017,83.47
13/06/2017,95.49
14/06/2017,85.29
15/06/2017,80.01
16/06/2017,57.4
17/06/2017,50.27
18/06/2017,80.33
19/06/2017,62.97
20/06/2017,35.13
21/06/2017,64.06
22/06/2017,79.09
23/06/2017,75
24/06/2017,98.29
25/06/2017,81.78
26/06/2017,58.57
27/06/2017,44.78
28/06/2017,39.32
29/06/2017,25.69
30/06/2017,33.39
01/07/2017,65.77
02/07/2017,23.99
03/07/2017,64.91
04/07/2017,63.98
05/07/2017,57.2
06/07/2017,55.52
07/07/2017,50.71
08/07/2017,67.5
09/07/2017,88.7
10/07/2017,54.8
11/07/2017,50.27
12/07/2017,36.3
13/07/2017,32.96
14/07/2017,42.42
15/07/2017,46.44
16/07/2017,53.4
17/07/2017,51.53
18/07/2017,46.71
19/07/2017,79.1
20/07/2017,39.71
21/07/2017,32.9
22/07/2017,31.85
23/07/2017,40.05
24/07/2017,27.09
25/07/2017,26.67
26/07/2017,35.14
27/07/2017,39.13
28/07/2017,46.74
29/07/2017,36.33
30/07/2017,26.99
31/07/2017,36.12
01/08/2017,40.25
02/08/2017,42.33
03/08/2017,45.52
04/08/2017,47.66
05/08/2017,64.29
06/08/2017,84.77
07/08/2017,65.96
08/08/2017,52.17
09/08/2017,67.47
10/08/2017,62.65
11/08/2017,38.48
12/08/2017,29.99
13/08/2017,36.03
14/08/2017,41.98
15/08/2017,45.76
16/08/2017,49.89
17/08/2017,59.23
18/08/2017,49.47
19/08/2017,47.33
20/08/2017,34.61
21/08/2017,36.56
22/08/2017,45.43
23/08/2017,44.18
24/08/2017,34.6
25/08/2017,46.34
26/08/2017,41.11
27/08/2017,41.27
28/08/2017,34.84
29/08/2017,34
30/08/2017,29.8
31/08/2017,33.64
01/09/2017,29.35
02/09/2017,32.12
03/09/2017,43.83
04/09/2017,60.16
05/09/2017,37.36
06/09/2017,41.65
07/09/2017,57.07
08/09/2017,72.54
09/09/2017,58.25
10/09/2017,81.13
11/09/2017,73.66
12/09/2017,58.35
13/09/2017,71.52
14/09/2017,84.43
15/09/2017,97.02
16/09/2017,39.6
17/09/2017,52.6
18/09/2017,58.5
19/09/2017,86.3
20/09/2017,96.44
21/09/2017,62.4
22/09/2017,20.69
23/09/2017,24.36
24/09/2017,42.62
25/09/2017,68.71
26/09/2017,91.4
27/09/2017,103.95
28/09/2017,128.23
29/09/2017,106.69
30/09/2017,98.24
01/10/2017,90.49
02/10/2017,83.4
03/10/2017,80.38
04/10/2017,102.68
05/10/2017,85.02
06/10/2017,85.89
07/10/2017,102.89
08/10/2017,187.62
09/10/2017,156.08
10/10/2017,169.69
11/10/2017,162.07
12/10/2017,250.89
