Date,Concentration
02/08/2016,2.34
03/08/2016,2.5
04/08/2016,3
05/08/2016,2.31
06/08/2016,1.81
07/08/2016,2.41
10/08/2016,3.3
11/08/2016,2.94
12/08/2016,1.18
13/08/2016,0.78
14/08/2016,0.97
15/08/2016,1.58
16/08/2016,1.63
17/08/2016,1.4
18/08/2016,0.85
19/08/2016,1.4
20/08/2016,3.49
21/08/2016,3.14
22/08/2016,2.74
23/08/2016,2.4
24/08/2016,4.76
25/08/2016,0.86
26/08/2016,0.73
28/08/2016,2.44
29/08/2016,1.38
30/08/2016,0.81
31/08/2016,1.64
01/09/2016,1.08
02/09/2016,1.48
03/09/2016,1.71
04/09/2016,1.49
05/09/2016,1.57
06/09/2016,2.1
07/09/2016,1.67
08/09/2016,1.55
09/09/2016,1.45
10/09/2016,1.54
11/09/2016,1.13
12/09/2016,1.32
13/09/2016,1.44
14/09/2016,1.33
15/09/2016,0.84
16/09/2016,0.81
17/09/2016,0.77
18/09/2016,1.44
19/09/2016,1.21
20/09/2016,0.8
21/09/2016,2.04
22/09/2016,2.87
23/09/2016,1.49
24/09/2016,1.7
25/09/2016,1.24
26/09/2016,1.23
27/09/2016,1.31
28/09/2016,1.22
29/09/2016,1.9
30/09/2016,0.9
01/10/2016,1.38
02/10/2016,1.28
03/10/2016,1.1
04/10/2016,0.82
05/10/2016,0.54
06/10/2016,0.93
07/10/2016,0.73
08/10/2016,0.67
09/10/2016,0.62
10/10/2016,0.6
11/10/2016,0.92
12/10/2016,0.83
13/10/2016,0.9
14/10/2016,0.71
15/10/2016,0.66
16/10/2016,0.65
17/10/2016,0.62
18/10/2016,0.68
19/10/2016,0.63
20/10/2016,0.75
21/10/2016,0.87
22/10/2016,0.89
23/10/2016,0.83
24/10/2016,0.71
25/10/2016,0.89
26/10/2016,0.55
27/10/2016,0.62
28/10/2016,0.6
29/10/2016,0.65
30/10/2016,0.74
31/10/2016,0.39
01/11/2016,0.38
02/11/2016,0.36
03/11/2016,0.4
04/11/2016,0.38
05/11/2016,0.47
06/11/2016,0.31
07/11/2016,0.7
08/11/2016,1.03
09/11/2016,0.52
10/11/2016,0.38
11/11/2016,0.82
12/11/2016,0.97
13/11/2016,0.74
14/11/2016,0.43
15/11/2016,0.43
16/11/2016,0.65
17/11/2016,0.85
18/11/2016,0.68
19/11/2016,0.42
20/11/2016,0.7
21/11/2016,0.48
22/11/2016,0.62
23/11/2016,0.57
24/11/2016,0.67
25/11/2016,1.69
26/11/2016,1.53
27/11/2016,1.12
28/11/2016,0.98
29/11/2016,0.38
30/11/2016,0.93
01/12/2016,0.76
02/12/2016,0.43
03/12/2016,0.48
04/12/2016,0.51
05/12/2016,0.53
06/12/2016,1.16
07/12/2016,0.55
08/12/2016,0.76
09/12/2016,0.77
10/12/2016,1.84
11/12/2016,0.9
12/12/2016,0.43
13/12/2016,0.43
14/12/2016,0.52
15/12/2016,0.68
16/12/2016,0.37
17/12/2016,0.36
18/12/2016,0.33
19/12/2016,0.64
20/12/2016,1.23
21/12/2016,1.14
22/12/2016,0.44
23/12/2016,0.34
24/12/2016,1.28
25/12/2016,1.17
26/12/2016,0.7
27/12/2016,0.64
28/12/2016,0.41
29/12/2016,1.81
30/12/2016,1.94
31/12/2016,1.48
01/01/2017,1.07
02/01/2017,0.59
03/01/2017,0.41
04/01/2017,0.95
05/01/2017,0.39
06/01/2017,2.19
07/01/2017,2.8
08/01/2017,0.85
09/01/2017,0.45
10/01/2017,0.81
11/01/2017,0.7
12/01/2017,0.49
13/01/2017,0.55
15/01/2017,0.76
16/01/2017,1.1
17/01/2017,1.02
18/01/2017,0.64
19/01/2017,1.13
20/01/2017,1.21
23/01/2017,0.71
24/01/2017,0.45
25/01/2017,1.84
26/01/2017,1.79
27/01/2017,1.03
28/01/2017,0.95
29/01/2017,0.78
30/01/2017,0.35
31/01/2017,0.52
01/02/2017,0.67
02/02/2017,0.45
